,Hindi,roman
0,इसके आने से पूर्व ही लोग घरों की सफाई का कार्य शुरू कर देते हैं।,iske aane se purva hi log gharon ki safai ka karya shuru kar dete hain.
1,विलुप्ति की कगार पर गुणकारी तीखुर,vilupti ki kagaar par gunkaari tikhur
2,माइकल कामेन (द वॉल के वाद्यमय हिस्सों के लिए एक योगदानकर्ता) ने दोनों के बीच मध्यस्थता की और उस भूमिका को निभाया जिस पर पारंपरिक रूप से रिचर्ड राइट ने कब्जा किया हुआ था जो अब अनुपस्थित थे।,Michael kamen (the wall ke vadyamaya hisso ke liye ek yogdanakarta) ne dono ke bich madhyasthata ki aur us bhumika ko nibhaya jis par paramparik rup se richard wright ne kabja kiya hua tha jo ab anupasthit the.
3,शाहनामा नौरोज़ के त्यौहार को महान जमशेद के शासनकाल से जोड़ता है।,shahnama noroj ke tyohaar ko mahaan Jamshed ke shashankaal se jodta hai.
4,"मेहरोत्रा, डॉ॰ एन.","Mehrotra, Dr॰ N."
5,दुर्गा भाभी,durga bhabhi
6,स्वामी बृहस्पति,swami brhaspati
7,"बॉलीवुड, हिन्दी चलचित्र उद्योग भी मुंबई में ही स्थित है।","bollywood, hindi chalchitra udyog bhi mumbai me hi sthit hai."
8,क्योंकि ऐसे शब्द भाषा के मूल शब्द होते हैं।,kyonki aise sabda bhasa ke mula sabda hote haim.
9,शार्ंगदेव (1210–1247) भारत के संगीतशास्त्री थे जिन्होने संगीतरत्नाकर नामक महत्वपूर्ण ग्रंथ की रचना की।,Sharangdev (1210-1247) Bharat ke Sangeetshastri the jinhone Sangeetratankar Naamak mahatwpurn granth ki rachna ki.
10,अंडे के छिलके अन्य एकांकी तथा बीज नाटक - मोहन राकेश,Ande ke chhilke anya ekanki tatha beej natak - Mohan Rakesh
11,"हालांकि विमान का डिज़ाइन किया गया खाली वजन लगभग 4,125 किलोग्राम था, पहला प्रोटोटाइप का खाली वजन लगभग 5,118 किलोग्राम निकला।","halanki vimaan ka dijain kiya gaya khali wajan lagbhag 4,125 kilogram tha, pahla prototaip ka khali wajan lagbhag 5,118 kilogram nikla."
12,"२०११ में, श्रेया ने तिगुमानु धुलिया हिट फिल्म साहब बिवी और गैंगस्टर में महुआ के चित्रण के लिए आलोचकों की प्रशंसा कमाई।","2011 men, Shreya ne Tigumanu Dhulia Hit Film Saheb Biwi aur Gangster men Mahua ke chitran ke liye alochakon ki prashansa kamai."
13,गंधक के साथ त्वरक को मिला देने से वल्कनीकरण शीघ्र संपन्न हो जाता और रबर में कुछ अधिक उपयोगी गुण भी आ जाते हैं।,gandhak ke sath twarak ko mila dene se walknikaran shighr sampann ho jata aur rabar men kuchh adhik upyogi gun bhi aa jaate hain.
14,"तीसरा सप्तक (कविता संग्रह),","teesra saptak (kavita sangrah),"
15,राह चलते एक वैद्य को शंकर मिल जाता है।,raah chalte ek vaidy ko shankar mil jata hai.
16,अति विशिष्ट सेवा मेडल,ati vishisht seva medal
17,"सारे लहलहाते खेत, पेड़-पौधे, महल और झोपड़ियाँ- सब की सब उजड़ जाएँगी।","Sare lalahate khet, Ped-paudhe, Mahal air jhopdiyan- sab ki sab ujad jayengi."
18,"प्रत्येक वर्ष देहरादून में श्री गुरू रामराय दरबार के आँगन में पवित्र मूर्ति को उठाया जाता है, जहाँ गुरू ने अपना डेरा स्थापित किया था।","Pratyek varsh Dehradun men Shri Guru Ramray Darbar ke angan men paitra murti ko uthaya jata hai, jahan guru ne apna dera sthapit kiya tha."
19,उज़बेक भाषा में 'यांगि येर' का मतलब 'नई भूमि' होता है।,Uzbec bhasha mein 'Yaangi Yer' ka matlab 'Nayi Bhoomi' hota hai.
20,प्रोस्टेट विशिष्ट प्रतिजन,Prostate vishishth pratijan
21,कार्बाधिशोषण इस्पात की पिटाई करने के बाद भी इसमें न्यूनाधिक असमता रहती है।,karbadhishoshan ispat ki pitai karne ke baad bhi ismein nyunadhik asamta rehti hai.
22,उन्हें ल्हासा से बीजिंग तक जाना था लेकिन ऐसा संभव नहीं होने पर सांगपो यानि ब्रह्मपुत्र या भूटान के रास्ते भारत आने के निर्देश दिये गये थे।,Unhe Lhasa se beijing tak jana tha lekin aisa sambhav nahi hone par Sangpo yani Brahmaputra ya Bhutan ke raste Bharat ane ke nidesh diye gaye the.
23,माना जाता है की मरीज की अपनी ही प्रतिरक्षा प्रणाली के क्षति की जाती है।,mana jata hai ki mareej ki apnee hi pratiraksha pranali ke Kshati ki jatee hai.
24,इस युद्ध में राणा सांगा का साथ महमूद लोदी दे रहे थे।,is yuddha mein Rana Sanga ka sath Mahmood Lodi de rahe the.
25,पुण्यमित्रस्सेना पतिस्स्वामिनं हत्वा राज्यं करिष्यति।।,punyamitrssena patisswaminn hatvaa raajyan karishyati..
26,लेकिन इंद्र ने नमुचि का सिर काट लिया तो कटा हुआ सिर इंद्र के पीछे उड़ने लगा।,lekin Indra ne Namuchi ka sir kaat liya to kata hua sir Indra ke pichhe udane laga.
27,उर्दू,Urdu
28,चूना पत्थर ही बड़ी बड़ी खानों के कारण यहाँ पर्याप्त मात्रा में सीमेंट का निर्माण होता है।,chuna patthar hi badi badi khanon ke kaaran yahan paryaapt matraa mein siment ka nirmaan hota hai.
29,यह अपने समय की पहली फिल्म थी जिसमें स्टॉप मोशन एनीमेशन डाला गया है।,yah apne samay ki pehli film thi jisme stop motion animation dala gaya hai.
30,भारत में अधिकतर निजी कानून धर्म के आधार पर तय किए गए हैं।,bharat me adhikatar niji kanun dharm ke aadhar par tay kiye gaye hain.
31,ब्रिटेन में इसके प्रवक्ता टेलीविजन हस्ती एलन विकर थे।,britain me iske pravakta television hasti alan vikar the.
32,क़ानूनी दस्तावेजों में 'राष्ट्रमंडल और आयरलैंड गणराज्य' के लिए सन्दर्भ दिया जाता है और इसके नागरिकों को विशेष रूप से संयुक्त राष्ट्र में विदेशी नागरिकों के रूप में वर्गीकृत नहीं किया जाता है।,kanuni dastavejo me 'rashtrmandal aur ireland ganarajya' ke liye sandarbh diya jata hai aur iske nagriko ko visesh rup se sanyukt rashtra me videshi nagriko ke rup me vargikrit nahi kiya jata hai.
33,लाओस,Laos
34,विद्रोहियों ने भी मानव अधिकार का दुरुपयोग किया है और जिसे जातीय सफाई कहते हैं उसमें लगी हुई है।,vidrohiyon ne bhi manav adhikar ka drupyog kiya hai aur jise jaatiy safai kahte hain usmen lagi hui hai.
35,पंख आधे खुले होते हैं और अधोमुख अवस्था में ही जोर से हिलाकर समय समय पर ध्वनि उत्पन्न करते हैं।,pankh adhe khule hote hai aur adhomukh avastha me hi jor se hilakar samay samay par dhvani utpann karte haim.
36,दस प्रमुख परीक्षणों में से पाँच बुद्धिपरीक्षण हैं और चार प्रक्षेपीय परीक्षण।,dasa pramukha pariksanom mem se pamca bud'dhipariksana haim aura cara praksepiya pariksana.
37,1990 से 1996 तक नियंत्रित रोमानिया के कई गठबंधन और सरकारें थीं और आयन लिस्क्यु राज्य प्रमुख थे।,1990 se 1996 tak niyantrit romania ke kai gathbandhan aur sarkare thi aur ayan liskyu rajya pramukh the.
38,इसका सेवन तीन प्रकार से किया जाता है :-,iska sevan teen prakar se kiya jata hai :-
39,"बीए पास करने के तुरंत बाद, इन्हें मुहम्मद एंग्लो-ओरिएंटल कॉलेज में गणित में सहायक व्याख्याता नियुक्त किया गया।","BA pass karne ke turant baad, inhen Muhmmad Anglo-Oriental Collage men Ganeet men Sahayak vyakhyata niyukt kiya gaya."
40,पुटुमायो (या इसा नदी),Putumayo (ya Isaa nadi)
41,अतः पुरुष अधिक आवृत्तियों में प्रभावित होते हैं।,Atah purush adhik avruttiyon men prabavit hote hain.
42,सर्व प्रथम सांखले महिपाल का पुत्र रायसी रुण को छोड़कर यहां आया और गुढ़ा बांधकर रहने लगा और कुछ समय बाद यहां के स्वामी दहियों की छल से हत्या कर उसने यहां अधिकार जमा लिया।,sarva pratham sankhle mahipal ka putr raysi ruun ko chodkar yaha aya aur gudha bandhkar rehne laga aur kuch samay bad yaha ke swami dahiyo ki chal se hatya kar usne yaha adhikar jama liya.
43,"ब्रह्मणा चस्सुतालापा सम्बुद्धा चापि भासि रे।।""","brahmana chassutalapa sambuddha chapi bhasi re.."""
44,सौ विचारधाराएँ,sau vichardharae
45,वाटर्स ने EMI और कोलंबिया को लिखा और समूह को छोड़ने के अपने इरादे की घोषणा की और खुद को अनुबंध से मुक्त करने के लिए उनसे कहा.,"Waters ne EMI, aur Columbia ko likha aur samuh ko chhodne ke apne iraade kii ghoshna ki aur khu ko anubandh se mukt karne ke liye unse kaha."
46,"फ़िल्म में पियर्स ब्रॉसनन, लियाम नीसन, माइकल विन्कोट, टॉम नूनन और एड लॉटर मुख्य भूमिकाओं में है।","film me Pierce Bronsnan, Liam Neesan, Michael Vincot, Tom Noonan aur Air Lotter mukhya bhoomikaaon men hain."
47,इस घिरनी को इस प्रकार लगाया जाता है कि चलानेवाली घिरनी और मार्ग घिरनी की धुरियाँ एक समतल में हों और मार्ग घिरनी तथा चलनेवाली घिरनी की धुरी एक समतल में हो।,is ghirni ko is prakar lagaya jata hai ki chalanevali ghirni aur marg ghirni ki dhuriya ek samtal me ho aur marg ghirni tatha chalanevali ghirni ki dhuri ek samtala me ho.
48,"इस उत्पाद में फिश स्टिक की एक श्रृंखला थी, जिसे चिकन टेंडर्स जैसी शैली वाले डिब्बों में ही बेचा जाता था और इसमें डुबोने के लिये एक टार्टर सॉस पैकेज होता था।","Us utapad men fish stick ki ek shrunkhala thi, jise chicken tenders jaisi shaili wale dibbon me hi becha jata hai aur ismen Dubone ke liye ek tartar sauce package hota hai"
49,"पहले इनका चरित्र, सभी विरोधी शक्तियों के विजेता के रूप में महान्‌ शक्तिशाली योद्धा का था जिसके सदर्भ में ये असीरियों के युद्ध के देवता रूप में प्रसिद्ध हुए।","pahle inkaa charitra, sabhi virodhi shaktiyon ke vijeta ke roop mein mahaan‌ shaktishaali yoddhaa kaa tha jiske sadarbh mein ye aseeriyon ke yuddh ke devtaa roop mein prasiddha huye."
50,यह चॅक को अहस्तांतरणीय बनाता है और यह चॅक के परांकन और नामित आदाता के अलावा किसी और खाते में भुगतान से बचने के लिए है।,yah cheque ko ahasthantaraniya banata hai aur yah cheque ke parankan aur namita adata ke alava kisi aur khate me bhugtan se bachne ke li'e hai.
51,"डेवी किंग की 1978 की लघु कहानी ""द वुमन गुलिवर लेफ्ट बिहाइंड"", एक प्रकार से इस कथा का एक व्यंग्यात्मक नारीवादी घुमाव है, जिसे गुलिवर की पत्नी के दृष्टिकोण से बताया गया है।","devi king ki 1978 ki laghu kahani ""The woman guliver left behind"", ek prakar se is katha ka ek vyangyatmak narivadi ghumav hai, jise guliver ki patni ke drishtikon se bataya gaya hai."
52,"यह अत्यंत सुंदर, ऊँचा वृक्ष है, जो भारत के कई भागों में उगता है।","yah atyant sundar, uncha vruksh hai, jo Bharat ke kai bhagon men ugta hai."
53,"मुस्लिम लीग ने मुस्लिम जनता को पाकिस्तान के लिए प्रचार करने के लिए संगठित किया, और खान के कई अनुयायियों ने शैक्षिक और राजनीतिक मोर्चों पर पाकिस्तान आंदोलन में महत्वपूर्ण और सक्रिय भूमिका निभाई।","Muslim League ne muslim janta ko Pakistan ke liye prachar karne ke liye sangthit kiya, aur khan ke kai anuyayiyon ne shaikshik aur rajnitik morchon par Pakistan andolan mein mahatvpurn aur sakriya bhuika nibhai."
54,महावृत्त,Mahavrutt
55,बालू,Balu
56,सन् १९५६ में खोली गई २.८५ किमी लम्बी जवाहर सुरंग पीर पंजाल शृंख्ला को चीरकर बनिहाल को काज़ीगुंड से जोड़ती है और कश्मीर वादी और देश के अन्य भागों के बीच के सड़क यातायात की मुख्य सूत्र है।,san 1956 mein kholi gayi 2.85 kimi lambi Jawahar Surang Peer Panjaal shrinkhlaa ko chirkar Banihal ko Kanjigund se jodti hai aur kashmir wadi aur desh ke anya bhagon ke bich ke sadak yatayat ki mukhya sutra hai.
57,१९८० में प्रकाशित 'राजुला मालशही' महाकाव्य पर आधारित एक नाटक उनका सबसे महत्वपूर्ण काम माना जाता है।,1980 mein parkashit 'Rajulaa Malshahi' mahaakaavya par aadhaarit ek naatak unkaa sabse mahatvpurna kaam mana jata hai.
58,ये महाराष्ट्र से हैं।,Ye Maharashtra se hain.
59,"इसी प्रकार, व्यापारी लोग भी इन पहाड़ियों द्वारा नियंत्रित रास्तों का इस्तेमाल करने की अनुमति प्राप्त करने हेतु उन्हें कुछ पथकर दिया करते थे।","isi prakaar, vyapari log bhi in phaadiyon dwara niyantrit raaston ka istemaal karne ki anumati prapt karne hetu unhen kuchh pathakar diya karte the."
60,एक एकड़ में लगभग 150 पेड़ लगाए जाते हैं और उनसे 150 से 500 पाउंड तक रबर प्राप्त होता है।,ek acre me lagabhag 150 ped lagae jate hai aur unse 150 se 500 pound tak rubber prapt hota hai.
61,इस सिद्धांत पर आधारित बुन्सेन का हिम उष्मामापी द्रवों तथा ठोस पदार्थों की विशिष्ट उष्मा ज्ञात करने का एक अत्यंत सुग्राही उपकरण है।,isa sid'dhanta para adharita bunsena ka hima usmamapi dravom tatha thosa padarthom ki visista usma jnata karane ka eka atyanta sugrahi upakarana hai.
62,के कुठाला शहीदी साके ने आपको रज़वाड़ाशाही समाप्त करने और रियासती प्रजामंडल की स्थापना के लिए प्रेरित किया।,Ke kuthala Shahidi sake ne apako rajwadashai sampt karne aur riyasati pramandal ki sthapna ke liye prerit kiya.
63,"गौरतलब है कि इससे पहले उत्तरी अमेरिका में देवदार के 4,000 से 5,000 वर्ष पुराने पेड़ों के बारे में पता चला था।","gaurtalab hai ki isse pahle Uttari America men Devdar ke 4,000 se 5,000 varsh purane pedon ke baare men pata chala tha."
64,इस इस्पात को पिंड के रूप में संचित कर लेते हैं।,is ispaat ko pind ke roop men sanchit kar lete hain.
65,महिला गायिकाओं को विभिन्न ट्रैक पर गाने के लिए इकट्ठा किया गया और सैक्सोफोनिस्ट डिक पैरी को भी बुक किया गया।,mahila gayikao ko vibhinna track par gaane ke lie ikattha kiya gaya aur sexophonist dick parry ko bhi book kiya gaya.
66,पेनी रेड,Peni Red
67,देखिये समय का खेल:,dekhiye samay ka khel:
68,"यूरोपीय बाजार के लिए एक सफलतम उत्पाद पर आधारित, ब्लू के लिए कोई वार्षिक शुल्क नहीं था, इसमें रिवार्ड कार्यक्रम और एक बहु-कार्यात्मक ऑनबोर्ड चिप थी।","europiy bajar ke lie ek safaltam utpad paa aadharit, blue ke lie koi varshik shulk nahi tha, isme reward karyakram aur ek bahu-karyatmaka onboard chip thi."
69,मतदान,Matadaan
70,"दिव्या दत्ता - रीना मल्होत्रा, संजय की पत्नी","Divya Dutta - Reena Malhotra, Sanjay ki patni"
72,प्रसादजी के पूर्व कम लीगों का ध्यान भारत के मुस्लिम-पूर्व इतिहास की और गया था।,Prasadji ke purv kam ligon ka dhyan bharat ke muslim-purv itihas ki aur gaya tha.
73,"मालाबार के भाग में जहाँ अधिक वर्षा होती है, घने जंगल पाए जाते हैं।","Malabar ke bhag men jahan adhik varhsa hoti hai, ghane jungle paye jate hain."
